Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Philadelphia,Weekly,"2022-01-16 00:00:00",Organic,1.730649370,33295.93,2989.61,3045.04,2.29,27258.98,,,
Phoenix/Tucson,Weekly,"2022-01-16 00:00:00",Conventional,1.120578544,1170572.72,502711.78,445418.70,22144.10,200272.29,,,
Phoenix/Tucson,Weekly,"2022-01-16 00:00:00",Organic,1.490302475,32401.90,12669.68,3158.37,0.00,16573.86,,,
Pittsburgh,Weekly,"2022-01-16 00:00:00",Conventional,1.083274932,178839.62,123912.01,14145.24,951.09,39831.28,,,
Pittsburgh,Weekly,"2022-01-16 00:00:00",Organic,1.473300251,8744.74,2887.19,0.00,0.00,5857.55,,,
Plains,Weekly,"2022-01-16 00:00:00",Conventional,1.263192973,1896274.82,796882.24,402906.21,55932.03,640554.33,,,
Plains,Weekly,"2022-01-16 00:00:00",Organic,1.738907449,51650.23,13840.09,4555.68,16.96,33237.50,,,
Portland,Weekly,"2022-01-16 00:00:00",Conventional,1.428534530,687631.04,394444.95,151101.88,31374.28,110709.92,,,
Portland,Weekly,"2022-01-16 00:00:00",Organic,2.662019663,33771.19,22779.84,6286.69,0.00,4704.66,,,
Providence,Weekly,"2022-01-16 00:00:00",Conventional,1.397003649,97310.99,29727.44,50976.21,327.13,16280.22,,,
Providence,Weekly,"2022-01-16 00:00:00",Organic,1.785518047,4145.70,59.51,23.31,0.00,4062.88,,,
Raleigh/Greensboro,Weekly,"2022-01-16 00:00:00",Conventional,1.255090638,444168.93,172681.18,84829.55,6429.81,180228.40,,,
Raleigh/Greensboro,Weekly,"2022-01-16 00:00:00",Organic,1.664522728,22284.50,535.47,3801.98,23.77,17923.28,,,
Richmond/Norfolk,Weekly,"2022-01-16 00:00:00",Conventional,1.132344589,361749.25,197076.13,68867.47,2376.03,93429.62,,,
Richmond/Norfolk,Weekly,"2022-01-16 00:00:00",Organic,1.495576781,20676.88,672.26,3474.87,4.34,16525.41,,,
Roanoke,Weekly,"2022-01-16 00:00:00",Conventional,1.044817690,239406.70,146556.72,40804.62,383.83,51661.54,,,
Roanoke,Weekly,"2022-01-16 00:00:00",Organic,1.489325829,9543.30,671.41,3076.79,0.00,5795.10,,,
Sacramento,Weekly,"2022-01-16 00:00:00",Conventional,1.662860071,429339.99,125833.84,186041.88,8059.91,109404.36,,,
Sacramento,Weekly,"2022-01-16 00:00:00",Organic,1.826444374,26285.92,7380.92,3252.73,0.00,15652.27,,,
"San Diego",Weekly,"2022-01-16 00:00:00",Conventional,1.348836613,547411.91,279375.42,59745.80,56394.58,151896.11,,,
"San Diego",Weekly,"2022-01-16 00:00:00",Organic,1.854937925,38988.98,13031.84,15668.06,0.00,10289.08,,,
